"ID","Per_Good_Fix_to_Exp","Per_No_Fix_to_Total","Per_Missing_Fix_to_Total","Per_Out_of_Bounds_Fix"
30379,0.992582654443779,0.00636910101020383,0.0131212389342975,0.00508848073319198
30380,0.460299899359794,0.663622416853757,0.551022176022176,0.0207202881145511
30381,0.993555772626725,0.00530738354196926,0.00840560583207642,0.00232438036103081
30382,0.984735482200635,0.00953330976022412,0.0806533744033744,0.00673522798312362
30384,0.995773652552789,0.00426603429311545,0.00622059721324428,0.00181959915036852
30386,0.982917389097451,0.0161865915286625,0.0237536869818423,0.00632994798582375
30387,0.919060506172055,0.103410436863531,0.0995692273076294,0.0269157030420287
30388,0.748074372737183,0.67162269070707,0.263083389563653,0.0220912922303154
30389,0.951680159958288,0.0493900470046608,0.0676217082467083,0.0238870664468218
30390,0.991369445630524,0.0069997463859937,0.00998460281548517,0.00212422112355459
30391,0.964483973553107,0.0443850835502585,0.0453022546526126,0.0116724176164144
