GMT,X,Y,Z,Temperature
2020-08-07 2:09,-1,0,-28,17
2020-08-07 2:09,-2,5,-25,17
2020-08-07 2:09,2,10,-31,17
2020-08-07 2:09,8,8,-25,17
2020-08-07 2:09,12,1,-26,17
2020-08-07 2:09,5,12,-26,17
2020-08-07 2:09,6,8,-24,17
2020-08-07 2:09,2,7,-26,17
2020-08-07 2:09,-1,-7,-22,17
2020-08-07 2:09,1,3,-35,17
2020-08-07 2:09,1,4,-28,17
2020-08-07 2:10,2,7,-27,17
2020-08-07 2:10,7,5,-23,17
2020-08-07 2:10,2,7,-26,17
2020-08-07 2:10,5,14,-22,17
2020-08-07 2:10,6,9,-24,17
2020-08-07 2:10,8,9,-23,17
2020-08-07 2:10,2,6,-24,17
2020-08-07 2:10,7,3,-24,17
2020-08-07 2:10,4,10,-22,17
2020-08-07 2:10,0,17,-21,17
2020-08-07 2:10,-1,7,-20,17
2020-08-07 2:10,3,6,-26,17
2020-08-07 2:10,9,6,-26,17
2020-08-07 2:10,17,7,-28,17
2020-08-07 2:10,27,7,-21,17
2020-08-07 2:10,7,0,-25,17.5
2020-08-07 2:10,3,-2,-28,17.5
2020-08-07 2:10,1,1,-25,17.5
2020-08-07 2:10,7,7,-25,17.5
2020-08-07 2:10,6,6,-30,17.5
2020-08-07 2:10,4,3,-25,17.5
2020-08-07 2:10,3,3,-26,17.5
2020-08-07 2:10,6,9,-24,17.5
2020-08-07 2:10,8,9,-25,17.5
2020-08-07 2:10,1,0,-30,17.5
2020-08-07 2:10,8,4,-32,17.5
2020-08-07 2:10,8,4,-23,17.5
2020-08-07 2:10,6,9,-26,17.5
2020-08-07 2:10,5,11,-25,17.5
2020-08-07 2:10,12,4,-25,17.5
2020-08-07 2:11,8,4,-27,17.5
2020-08-07 2:11,10,4,-28,17.5
2020-08-07 2:11,3,10,-21,17.5
2020-08-07 2:11,4,11,-23,17.5
2020-08-07 2:11,4,10,-26,17.5
2020-08-07 2:11,6,8,-25,17.5
2020-08-07 2:11,21,14,-25,17.5
2020-08-07 2:11,12,12,-24,17.5
2020-08-07 2:11,5,2,-23,17.5
2020-08-07 2:11,-1,16,-25,17.5
2020-08-07 2:11,-1,2,-25,17.5
2020-08-07 2:11,4,3,-27,17.5
2020-08-07 2:11,11,1,-24,17.5
2020-08-07 2:11,5,9,-22,17.5
2020-08-07 2:11,5,5,-24,17.5
2020-08-07 2:11,11,3,-30,17.5
2020-08-07 2:11,5,6,-21,17.5
2020-08-07 2:11,13,10,-33,17.5
2020-08-07 2:11,2,5,-26,17.5
2020-08-07 2:11,2,3,-27,17.5
2020-08-07 2:11,7,4,-28,17.5
2020-08-07 2:11,0,-1,-30,17.5
2020-08-07 2:11,-1,-1,-27,17.5
2020-08-07 2:11,11,11,-28,17.5
2020-08-07 2:11,2,4,-21,17.5
2020-08-07 2:11,3,6,-21,17.5
2020-08-07 2:11,10,5,-24,17.5
2020-08-07 2:11,1,12,-27,17.5
2020-08-07 2:11,8,9,-29,17.5
2020-08-07 2:11,10,6,-28,17.5
2020-08-07 2:12,7,8,-26,17.5
2020-08-07 2:12,5,10,-27,17.5
2020-08-07 2:12,6,9,-26,17.5
2020-08-07 2:12,4,4,-29,17
2020-08-07 2:12,4,4,-27,17
2020-08-07 2:12,25,6,-30,17
2020-08-07 2:12,3,2,-27,17
2020-08-07 2:12,1,3,-25,17
2020-08-07 2:12,8,14,-26,17
2020-08-07 2:12,8,3,-27,17
2020-08-07 2:12,3,-2,-29,17.5
2020-08-07 2:12,-1,-2,-26,17.5
2020-08-07 2:12,3,2,-28,17.5
2020-08-07 2:12,-1,2,-29,17.5
2020-08-07 2:12,3,5,-26,17.5
2020-08-07 2:12,0,0,-24,17.5
2020-08-07 2:12,9,7,-24,17.5
2020-08-07 2:12,11,1,-26,17
2020-08-07 2:12,24,4,-31,17
2020-08-07 2:12,7,11,-29,17
2020-08-07 2:12,3,9,-26,17
2020-08-07 2:12,6,2,-29,17
2020-08-07 2:12,3,10,-25,17
2020-08-07 2:12,2,-2,-30,17
2020-08-07 2:12,2,0,-26,17
2020-08-07 2:12,1,-2,-27,17
2020-08-07 2:12,2,11,-26,17
2020-08-07 2:12,6,8,-25,17
2020-08-07 2:12,11,8,-25,17
2020-08-07 2:12,5,17,-22,17
2020-08-07 2:13,20,14,-26,17
2020-08-07 2:13,8,6,-23,17
2020-08-07 2:13,9,14,-23,17
2020-08-07 2:13,9,12,-23,17
2020-08-07 2:13,2,12,-25,17
2020-08-07 2:13,7,5,-26,17
2020-08-07 2:13,14,11,-23,17
2020-08-07 2:13,36,4,-22,17
2020-08-07 2:13,18,9,-28,17
2020-08-07 2:13,0,9,-22,17
2020-08-07 2:13,18,9,-29,17
2020-08-07 2:13,4,-2,-28,17
2020-08-07 2:13,5,2,-35,17
2020-08-07 2:13,13,16,-26,17
2020-08-07 2:13,6,11,-28,17
2020-08-07 2:13,11,14,-23,17
2020-08-07 2:13,6,1,-27,17
2020-08-07 2:13,6,18,-22,17
2020-08-07 2:13,10,1,-21,17
2020-08-07 2:13,2,3,-26,17
2020-08-07 2:13,14,19,-23,17
2020-08-07 2:13,22,7,-25,17
2020-08-07 2:13,1,13,-19,17
2020-08-07 2:13,8,6,-23,17
