"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",288,0,541,0,0,"Inf %","100 %"
"2020-06-19",0,0,0,0,0,NA,NA
"2020-06-20",0,0,0,0,0,NA,NA
"2020-06-21",0,0,0,0,0,NA,NA
"2020-06-22",0,0,0,0,0,NA,NA
"2020-06-23",0,0,0,0,0,NA,NA
"2020-06-24",0,0,0,0,0,NA,NA
"2020-06-25",0,0,0,0,0,NA,NA
"2020-06-26",0,0,0,0,0,NA,NA
"2020-06-27",0,0,0,0,0,NA,NA
"2020-06-28",0,0,0,0,0,NA,NA
"2020-06-29",0,0,0,0,0,NA,NA
"2020-06-30",0,0,0,0,0,NA,NA
"2020-07-01",0,0,0,0,0,NA,NA
"2020-07-02",0,0,0,0,0,NA,NA
"2020-07-03",0,0,0,0,0,NA,NA
"2020-07-04",0,0,0,0,0,NA,NA
"2020-07-05",0,0,0,0,0,NA,NA
"2020-07-06",0,0,0,0,0,NA,NA
"2020-07-07",0,0,0,0,0,NA,NA
"2020-07-08",0,0,0,0,0,NA,NA
"2020-07-09",0,0,0,0,0,NA,NA
"2020-07-10",0,0,0,0,0,NA,NA
"2020-07-11",0,0,0,0,0,NA,NA
"2020-07-12",0,0,0,0,0,NA,NA
"2020-07-13",288,178,5,2,0,"2.77777777777778 %","37.5 %"
"2020-07-14",288,285,0,11,0,"0 %","-2.77777777777778 %"
"2020-07-15",288,284,1,5,0,"0.346020761245675 %","-0.347222222222222 %"
"2020-07-16",288,289,0,0,0,"0 %","-0.347222222222222 %"
"2020-07-17",288,288,0,2,0,"0 %","-0.694444444444444 %"
"2020-07-18",288,282,3,1,1,"1.05633802816901 %","1.38888888888889 %"
"2020-07-19",288,287,0,2,0,"0 %","-0.347222222222222 %"
"2020-07-20",288,282,3,4,1,"1.04529616724739 %","0.347222222222222 %"
"2020-07-21",288,279,9,1,0,"3.21428571428571 %","2.77777777777778 %"
"2020-07-22",288,243,41,4,0,"16.5991902834008 %","14.2361111111111 %"
"2020-07-23",288,261,20,5,1,"7.49063670411985 %","7.29166666666667 %"
"2020-07-24",288,276,12,0,0,"4.34782608695652 %","4.16666666666667 %"
"2020-07-25",288,276,11,2,0,"3.9568345323741 %","3.47222222222222 %"
"2020-07-26",288,287,1,0,0,"0.348432055749129 %","0.347222222222222 %"
"2020-07-27",288,277,11,0,0,"3.97111913357401 %","3.81944444444444 %"
"2020-07-28",288,288,0,0,0,"0 %","0 %"
"2020-07-29",288,256,29,8,0,"10.9848484848485 %","8.33333333333333 %"
"2020-07-30",288,0,292,0,0,"Inf %","100 %"
"2020-07-31",288,38,256,1,0,"656.410256410256 %","86.4583333333333 %"
"2020-08-01",288,41,249,0,0,"607.317073170732 %","85.7638888888889 %"
"2020-08-02",288,0,291,0,0,"Inf %","100 %"
"2020-08-03",288,0,7,0,0,"Inf %","100 %"
"2020-08-04",0,0,0,0,0,NA,NA
"2020-08-05",288,40,40,1,0,"97.5609756097561 %","85.7638888888889 %"
"2020-08-06",288,60,228,0,0,"380 %","79.1666666666667 %"
"2020-08-07",288,0,288,0,0,"Inf %","100 %"
"2020-08-08",288,0,288,0,0,"Inf %","100 %"
"2020-08-09",288,11,277,0,0,"2518.18181818182 %","96.1805555555556 %"
"2020-08-10",288,4,285,0,0,"7125 %","98.6111111111111 %"
"2020-08-11",288,0,289,0,0,"Inf %","100 %"
"2020-08-12",288,0,289,0,0,"Inf %","100 %"
"2020-08-13",288,0,150,0,0,"Inf %","100 %"
"2020-08-14",0,0,0,0,0,NA,NA
"2020-08-15",0,0,0,0,0,NA,NA
"2020-08-16",0,0,0,0,0,NA,NA
"2020-08-17",0,0,0,0,0,NA,NA
"2020-08-18",0,0,0,0,0,NA,NA
"2020-08-19",0,0,0,0,0,NA,NA
"2020-08-20",0,0,0,0,0,NA,NA
"2020-08-21",0,0,0,0,0,NA,NA
"2020-08-22",0,0,0,0,0,NA,NA
"2020-08-23",0,0,0,0,0,NA,NA
"2020-08-24",0,0,0,0,0,NA,NA
"2020-08-25",0,0,0,0,0,NA,NA
"2020-08-26",0,0,0,0,0,NA,NA
"2020-08-27",0,0,0,0,0,NA,NA
"2020-08-28",0,0,0,0,0,NA,NA
"2020-08-29",0,0,0,0,0,NA,NA
"2020-08-30",0,0,0,0,0,NA,NA
"2020-08-31",0,0,0,0,0,NA,NA
"2020-09-01",0,0,0,0,0,NA,NA
"2020-09-02",0,0,0,0,0,NA,NA
"2020-09-03",0,0,0,0,0,NA,NA
"2020-09-04",0,0,0,0,0,NA,NA
"2020-09-05",0,0,0,0,0,NA,NA
"2020-09-06",0,0,0,0,0,NA,NA
"2020-09-07",0,0,0,0,0,NA,NA
"2020-09-08",0,0,0,0,0,NA,NA
"2020-09-09",0,0,0,0,0,NA,NA
"2020-09-10",0,0,0,0,0,NA,NA
"2020-09-11",0,0,0,0,0,NA,NA
"2020-09-12",0,0,0,0,0,NA,NA
"2020-09-13",0,0,0,0,0,NA,NA
"2020-09-14",0,0,0,0,0,NA,NA
"2020-09-15",0,0,0,0,0,NA,NA
"2020-09-16",0,0,0,0,0,NA,NA
