"Date","Percent Expected Recordings","95 Percentile Activities","99 Percentile Activities","99.99 Percentile High Activities"
"2020-06-18",0.683055555555556,0.0668632235326013,0.0187406804934255,0.000237223803714247
"2020-06-19",1,0.0507407407407407,0.011412037037037,0.000347222222222222
"2020-06-20",1,0.0417592592592593,0.00791666666666667,0.000231481481481481
"2020-06-21",1,0.0364583333333333,0.00768518518518519,0.000185185185185185
"2020-06-22",1,0.0410185185185185,0.00842592592592593,0.000324074074074074
"2020-06-23",1,0.0415509259259259,0.00884259259259259,0.000416666666666667
"2020-06-24",1,0.0462037037037037,0.00599537037037037,0.000300925925925926
"2020-06-25",1,0.0347916666666667,0.00634259259259259,0.000439814814814815
"2020-06-26",0.977314814814815,0.210279488394126,0.0376361913784936,0.00177640928469919
"2020-06-27",1,0.0438425925925926,0.00821759259259259,0.00037037037037037
"2020-06-28",1,0.0300231481481481,0.00675925925925926,0.000625
"2020-06-29",1,0.0319907407407407,0.00643518518518519,0.000601851851851852
"2020-06-30",1,0.0231944444444444,0.00381944444444444,0.000231481481481481
"2020-07-01",1,0.018287037037037,0.00321759259259259,0.000185185185185185
"2020-07-02",0.740023148148148,0.0235540680033783,0.00528637117207295,0.000406643936313304
"2020-07-03",0,0,0,0
"2020-07-04",0,0,0,0
"2020-07-05",0,0,0,0
"2020-07-06",0,0,0,0
"2020-07-07",0,0,0,0
"2020-07-08",0,0,0,0
"2020-07-09",0,0,0,0
"2020-07-10",0,0,0,0
"2020-07-11",0,0,0,0
"2020-07-12",0,0,0,0
"2020-07-13",0,0,0,0
"2020-07-14",0,0,0,0
"2020-07-15",0,0,0,0
"2020-07-16",0,0,0,0
"2020-07-17",0,0,0,0
"2020-07-18",0,0,0,0
"2020-07-19",0,0,0,0
"2020-07-20",0,0,0,0
"2020-07-21",0,0,0,0
"2020-07-22",0,0,0,0
"2020-07-23",0,0,0,0
"2020-07-24",0,0,0,0
"2020-07-25",0,0,0,0
"2020-07-26",0,0,0,0
"2020-07-27",0,0,0,0
"2020-07-28",0,0,0,0
"2020-07-29",0,0,0,0
"2020-07-30",0,0,0,0
"2020-07-31",0,0,0,0
"2020-08-01",0,0,0,0
"2020-08-02",0,0,0,0
"2020-08-03",0,0,0,0
"2020-08-04",0,0,0,0
"2020-08-05",0,0,0,0
"2020-08-06",0,0,0,0
"2020-08-07",0,0,0,0
"2020-08-08",0,0,0,0
"2020-08-09",0,0,0,0
"2020-08-10",0,0,0,0
"2020-08-11",0,0,0,0
"2020-08-12",0,0,0,0
"2020-08-13",0,0,0,0
"2020-08-14",0,0,0,0
"2020-08-15",0,0,0,0
"2020-08-16",0,0,0,0
"2020-08-17",0,0,0,0
"2020-08-18",0,0,0,0
"2020-08-19",0,0,0,0
"2020-08-20",0,0,0,0
"2020-08-21",0,0,0,0
"2020-08-22",0,0,0,0
"2020-08-23",0,0,0,0
"2020-08-24",0,0,0,0
"2020-08-25",0,0,0,0
"2020-08-26",0,0,0,0
"2020-08-27",0,0,0,0
"2020-08-28",0,0,0,0
"2020-08-29",0,0,0,0
"2020-08-30",0,0,0,0
"2020-08-31",0,0,0,0
"2020-09-01",0,0,0,0
"2020-09-02",0,0,0,0
"2020-09-03",0,0,0,0
"2020-09-04",0,0,0,0
"2020-09-05",0,0,0,0
"2020-09-06",0,0,0,0
"2020-09-07",0,0,0,0
"2020-09-08",0,0,0,0
"2020-09-09",0,0,0,0
"2020-09-10",0,0,0,0
"2020-09-11",0,0,0,0
"2020-09-12",0,0,0,0
"2020-09-13",0,0,0,0
"2020-09-14",0,0,0,0
"2020-09-15",0,0,0,0
"2020-09-16",0,0,0,0
